Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
"Tu Jaane Na (From ""Ajab Prem Ki Ghazab Kahani"")",Atif Aslam,Atif Rocks,3bEqFMBK1Ya8BFGL3VONbo,5SoEW6ft6IFypXXA7nt3z4,0,2011-05-27,337279,False,https://open.spotify.com/track/5SoEW6ft6IFypXXA7nt3z4,0.701,0.864,7,-3.955,1,0.035,0.36,1.33e-06,0.16,0.819,120.055
"Be Intehaan (From ""Race 2"")","Atif Aslam, Sunidhi Chauhan, Pritam",Yours Truly,1IGBv30ttjRloTuvs51zG1,3l8iHQwFe7OeXxSkEF2AWt,0,2014-09-02,290867,False,https://open.spotify.com/track/3l8iHQwFe7OeXxSkEF2AWt,0.559,0.696,7,-5.583,1,0.0472,0.536,0.0,0.325,0.391,128.855
"Kuch Is Tarah (From ""Doorie"")","Atif Aslam, Mithoon",Yours Truly,1IGBv30ttjRloTuvs51zG1,2mgM4WYTrLi2XR2ol7RIEz,0,2014-09-02,314067,False,https://open.spotify.com/track/2mgM4WYTrLi2XR2ol7RIEz,0.647,0.494,5,-7.214,1,0.0232,0.839,9.21e-06,0.116,0.331,96.997
"Tera Hone Laga Hoon (From ""Ajab Prem Ki Ghazab Kahani"")","Atif Aslam, Alisha Chinai, Pritam",Yours Truly,1IGBv30ttjRloTuvs51zG1,57wiBHywSybfdZNE8rRyhx,0,2014-09-02,295175,False,https://open.spotify.com/track/57wiBHywSybfdZNE8rRyhx,0.685,0.773,8,-5.331,1,0.0308,0.548,0.0,0.193,0.541,119.987
"Bakhuda Tumhi Ho (From ""Kismat Konnection"")","Atif Aslam, Alka Yagnik & Arvind Hasabnish, Pritam",Yours Truly,1IGBv30ttjRloTuvs51zG1,0R1e0Nm9jVTmMlJVc6JqaE,0,2014-09-02,292493,False,https://open.spotify.com/track/0R1e0Nm9jVTmMlJVc6JqaE,0.322,0.752,2,-3.457,1,0.0422,0.633,0.0,0.129,0.502,126.949
Where's the Party Tonight,"Shankar-Ehsaan-Loy, Shaan, Vasundhara Das, Loy Mendonsa, Shankar Mahadevan",Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),4hYTERVUXY74XJdm8tyXBV,6ECucSdJeJmSm3k1k3Vumv,51,2006-06-08,378160,False,https://open.spotify.com/track/6ECucSdJeJmSm3k1k3Vumv,0.764,0.863,2,-5.414,0,0.0416,0.00269,0.0,0.27,0.92,132.021
Bole Chudiyan,"Jatin-Lalit, Amit Kumar, Sonu Nigam, Alka Yagnik, Udit Narayan, Kavita Krishnamurthy",Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),5lExQTV6ELzqRgwsqahZoh,1uzkWkIaWaxzHJgJ4Fy5rO,59,2001-11-28,408133,False,https://open.spotify.com/track/1uzkWkIaWaxzHJgJ4Fy5rO,0.59,0.875,5,-5.294,1,0.171,0.45,1.16e-05,0.164,0.737,96.915
Radha,"Vishal-Shekhar, Shreya Ghoshal, Udit Narayan, Vishal Dadlani, Shekhar Ravjiani",Student of the Year (Original Motion Picture Soundtrack),1Q9pYTcpVfz0eJTZZczELy,6f7zyAEUCZuvX4Zty62Z5o,55,2012-08-31,341360,False,https://open.spotify.com/track/6f7zyAEUCZuvX4Zty62Z5o,0.804,0.748,1,-14.163,0,0.0616,0.11,0.0,0.0998,0.699,131.989
Shayad,"Pritam, Arijit Singh",Love Aaj Kal (Original Motion Picture Soundtrack),6IXfWhC7omotM4lt0ROmEr,1smFN2CLqGROu0J0UyvDfL,69,2020-02-14,247941,False,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,8,-7.642,1,0.0341,0.784,0.0,0.152,0.319,135.875
"Jab Tak (From ""M.S.Dhoni - The Untold Story"")",Armaan Malik,2016 Shining Star - Armaan Malik,2Z5Dq0EmYGI7yUTIgRnuSY,6tkl6rjuXWtVOCaXSSSCz2,52,2016-12-30,174039,False,https://open.spotify.com/track/6tkl6rjuXWtVOCaXSSSCz2,0.298,0.447,3,-7.862,0,0.0383,0.857,0.000311,0.097,0.322,121.668
